STN ID,Station Name,Start Date (D/M/Y),End Date,Station Grouping,WMO-ID,WIGOS-ID,Climate ID,Prov,Province,Station Type,Latitude,Longitude,Elevation (m),Barometer Elevation,TAC Header,CCCC (Distributing Data Centre),TDCF BUFR HEADER,VIRTUAL_STN_ID
50737,EUREKA CLIMATE,5/8/2017,,,71613,0-20000-0-71613,2401199,NU,CANADA,AU8,"79°59'21""N","085°56'02""W",10,11,CSCN16,ISCA05,CWAO,72000000
53598,EUREKA A,,10/7/2017,,71917,0-20000-0-71917,2401203,NU,CANADA,NCH,"79°59'40""N","085°48'43""W",82.9,82.9,,,CWAO,
50777,SLAVE LAKE RCS,5/8/2017,,,71693,0-20000-0-71693,3065997,AB,CANADA,AU8,"55°17'47""N","114°47'04""W",582.8,584,CSCN16,ISCB04,CWAO,25000000
31528,SLAVE LAKE AWOS A,,10/7/2017,,71069,0-20000-0-71069,3066002,ON,CANADA,,"55°17'35""N","114°46'38""W",582.8,0.1,,,,
54640,PORT AUX BASQUES,5/2/2018,,,73026,0-20000-0-73026,8402980,NFLD,CANADA,AU8,"47°34'24""N","059°09'11""W",39,41.2,CSCN10,ISCA01,CWAO,99000000
6693,PORT-AUX BASQUES,,10/9/2017,,71197,0-20000-0-71197,8402975,NFLD,CANADA,AU5,"47°34'26""N","059°09'17""W",39.7,,,,CWAO,
54639,SABLE ISLAND,5/2/2018,,,73025,0-20000-0-73025,8204708,NS,CANADA,AU8,"43°55'53""N","060°00'30""W",5,6.3,CSCN10,ISCA02,CWAO,106000000
6454,SABLE ISLAND,,10/11/2017,,71600,0-20000-0-71600,8204700,NS,CANADA,AU5,"43°55'56""N","060°00'34""W",5,,,,CWAO,
54638,DANIEL'S HARBOUR,5/9/2018,,,73024,0-124-0-73024,8401405,NFLD,CANADA,AU8,"50°14'11""N","057°34'52""W",22,25,CSCN10,ISCA01,CWAO,96000000
6613,DANIELS HARBOUR,,10/6/2018,,71185,0-20000-0-71185,8401400,NFLD,CANADA,AU5,"50°14'11""N","057°34'52""W",19,,,,CWAO,
47347,CORAL HARBOUR RCS,5/5/2019,,,71134,0-124-0-71134,2301010,NU,CANADA,AU8,"64°11'16""N","083°20'49""W",53.3,55.1,CSCN11,ISCA05,CWAO,71000000
53421,CORAL HARBOUR A,,10/4/2019,,71915,0-20000-0-71915,2301002,NU,CANADA,NCH,"64°11'36""N","083°21'34""W",62.2,,,,CWAO,
54098,FORT NELSON,5/5/2019,,,71594,0-124-0-71594,1192948,BC,CANADA,AU8,"58°50'29""N","122°34'27""W",380.2,380.4,CSCN15,ISCB03,CWAO,8000000
50819,FORT NELSON A,,10/4/2019,,71945,0-20000-0-71945,1192946,BC,CANADA,NCH,"58°50'11""N","122°35'49""W",381.9,,,,CWAO,
54605,SIOUX LOOKOUT AIRPORT,5/5/2019,,,73017,0-124-0-73017,6037800,ON,CANADA,AU8,"50°07'14""N","091°54'10""W",385.6,387.5,CSCN10,ISCB06,CWAO,52000000
51138,SIOUX LOOKOUT A,,10/4/2019,,71842,0-20000-0-71842,6037776,ON,CANADA,NCH,"50°06'51""N","091°54'29""W",383.1,,,,CWAO,
54878,SCHEFFERVILLE COTE-NORD,5/3/2020,,,73075,0-124-0-73075,7117824,QC,CANADA,AU8,"54°48'10""N","066°48'16""W",517.2,519.3,CSCN10,ISCA03,CWAO,64000000
30164,SCHEFFERVILLE,,10/4/2018,,71828,0-20000-0-71828,7117827,QC,CANADA,AU8,"54°48'10""N","066°48'16""W",517,520.9,,,CWAO,
55118,HIGH LEVEL,5/2/2021,,,73085,0-124-0-73085,3073148,AB,CANADA,AU8,"58°37'53""N","117°09'49""W",337.4,338.6,CSCN10,ISCB04,CWAO,23000000
49928,HIGH LEVEL A,,10/1/2021,,71066,0-20000-0-71066,3073140,AB,CANADA,NCA,"58°37'18""N","117°09'53""W",338,336.8,,,CWAO,
42463,ALERT CLIMATE,,,,71355,0-20000-0-71355,2400305,NU,CANADA,,"82°29'38""N","062°21'08""W",60.2,66.9,CSCN13,ISCA05,CWAO,66000000
29517,ARCTIC BAY CS,,,,71592,0-20000-0-71592,2400404,NU,CANADA,,"72°59'34""N","085°00'42""W",10.3,11.5,CSCN15,ISCA05,CWAO,
